#Year	U.S. Population
1980	227224681
1981	229465714
1982	231664458
1983	233791994
1984	235824902
1985	237923795
1986	240132887
1987	242288918
1988	244498982
1989	246819230
1990	249438712
1991	252127402
1992	254994517
1993	257746103
1994	260289237
1995	262764948
1996	265189794
1997	267743595
1998	270298524
1999	272690813
2000	282171957
2001	285081556
2002	287803914
2003	290326418
2004	293045739
2005	295753151
2006	298593212
2007	301579895
2008	304374846
2009	307006550
2010	310232863
